"method","mean","sd"
"IPW.elapsed",0.0403200000000066,0.0022704084995186
"Gcomp.elapsed",0.724028999999986,0.0229340823041084
"AIPW.elapsed",0.761528999999997,0.0225415456497629
"TMLE.elapsed",5.20050999999996,0.471375269339174
"AIPW_normal.elapsed",0.497791000000039,0.0792287101215062
"Firpo.elapsed",0.00478999999997864,0.00173346615338533
"CPM_TMLE.elapsed",5.74710299999998,0.535105135367723
"RQ_TMLE.elapsed",4.96882700000002,0.402831610449516
"AIPW_CPM_Q.elapsed",0.730443000000015,0.0227858716520805
